# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:15:47 2025
#                        
# Element                            : Yb
# Z                                  : 70
# A                                  : 163
# I                                  : 0
# Half-life                   [min. ]: 11.05 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.000181E+00 
# Emax2 (background)             [eV]: 8.337320E+01 
# Number of resonances (<Emax)       : 94
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 1.295220E+02 
# Ress Int. (n,g) (systematics)  [b.]: 2.588330E+03 
# MACS 30 keV (calculated)       [b.]: 9.412200E+00
# Westcott factor (calculated)       : 1.107980E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 6.543990E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.682810E+01 
#
# Scattering radius              [fm]: 7.25 +/- 7.25 
#
# Average Gtotal   l=0           [eV]: 9.280360E-02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.572410E-07 
# Average Gg       l=0           [eV]: 9.280330E-02 
# Average level spacing D0 (l=0) [eV]: 8.139730E-02 
# Neutron strength function S0 (l=0) : 1.440480E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -1.174094E+00      2.350000E-04     0       +1.00      1.004800E-06    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.412325E-01      1.680000E-04     0       +1.00      3.066591E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.923617E-01      1.180000E-04     0       +1.00      1.435957E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.703356E-01      1.140000E-04     0       +1.00      1.710940E-10    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.208094E-01      1.040000E-04     0       +1.00      3.119800E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.068108E-01      2.100000E-05     0       +1.00      5.482093E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.784095E-02      1.400000E-05     0       +1.00      1.351609E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +5.694712E-02      1.100000E-05     0       +1.00      1.164109E-09    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.784095E-02      1.400000E-05     0       +1.00      6.783285E-07    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.698914E-01      3.400000E-05     0       +1.00      7.155961E-08    0.000000E+00    9.380870E-02    4.172400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
