# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:23:27 2025
#                        
# Element                            : Zn
# Z                                  : 30
# A                                  : 70
# I                                  : 0
# Abundancy                       [%]: 0.61
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.210110E+05 
# Emax2 (background)             [eV]: 2.210110E+05 
# Number of resonances (<Emax)       : 121
# Number of resonances (<Emax2)      : 121
# Thermal  (n,g) xs (calculated) [b.]: 9.227930E-02 
# Thermal  (n,g) xs (experiment) [b.]: 0.092 +/- 0.005 
# Res. Int (n,g) (calculated)    [b.]: 9.473780E-01  
# Res. Int (n,g) (experiment)    [b.]: 0.86 +/- 0.06 
# MACS 30 keV (calculated)       [b.]: 1.249600E-02
# Westcott factor (calculated)       : 1.000580E+00
#
# Thermal (n,el) xs (calculated) [b.]: 3.445600E+00 
# Thermal (n,el) xs (experiment) [b.]: 3.5 +/- 0.3 
# Res. Int (n,el) (calculated)   [b.]: 6.425260E+01 
#
# Scattering radius              [fm]: 6.20 +/- 0.30 
#
# Average Gtotal   l=0           [eV]: 1.784430E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 5.631570E-01 
# Average Gg       l=0           [eV]: 1.986670E-01 
# Average level spacing D0 (l=0) [eV]: 6.000000E+03 
# Neutron strength function S0 (l=0) : 9.654130E-05 
#
# Average Gtotal   l=1           [eV]: 1.443430E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.328960E-01 
# Average Gg       l=1           [eV]: 1.945710E-01 
# Average level spacing D1 (l=1) [eV]: 2.916670E+03 
# Neutron strength function S1 (l=1) : 4.865670E-05 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  +9.610000E+02      2.151100E-01     0       +0.50      2.900000E+00    1.622800E-02    2.000000E-01    4.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.080000E+04      5.000000E+00     1       +1.50      9.500000E-01    5.316000E-03    9.900000E-02    4.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.207100E+04      5.000000E+00     1       +1.50      6.000000E-01    3.358000E-03    9.900000E-02    4.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.234200E+04      5.000000E+00     0       +0.50      9.100000E+00    5.092400E-02    1.980000E-01    9.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.304000E+04      5.000000E+00     0       +0.50      6.000000E+00    3.357600E-02    1.980000E-01    9.900000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.337100E+04      5.000000E+00     1       +1.50      9.500000E-01    5.316000E-03    9.900000E-02    4.950000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.795500E+04      5.000000E+00     0       +0.50      1.300000E+02    6.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.274700E+04      1.000000E+01     1       +1.50      2.700000E+00    1.510900E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.295400E+04      1.000000E+01     0       +0.50      1.300000E+01    3.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.160500E+04      1.000000E+01     1       +1.50      2.200000E+00    1.231100E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.172200E+04      1.000000E+01     1       +1.50      2.700000E+00    1.510900E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.190000E+04      1.000000E+01     0       +0.50      3.930000E+02    2.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.792000E+04      1.000000E+01     1       +1.50      2.550000E+00    1.427000E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.419700E+04      1.500000E+01     0       +0.50      1.780000E+02    1.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.162800E+04      1.500000E+01     0       +0.50      2.040000E+02    1.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.546200E+04      1.500000E+01     0       +0.50      1.740000E+02    1.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.601000E+04      1.500000E+01     1       +1.50      2.400000E+00    1.343000E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.609000E+04      1.500000E+01     1       +1.50      2.180000E+01    1.219930E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.902900E+04      1.500000E+01     1       +1.50      1.050000E+01    5.875800E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.975400E+04      1.500000E+01     0       +0.50      4.900000E+01    5.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.099500E+04      2.000000E+01     0       +0.50      3.580000E+01    2.003370E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.251500E+04      2.000000E+01     1       +1.50      4.250000E+00    2.378300E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.107700E+04      2.000000E+01     0       +0.50      3.850000E+02    2.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.862000E+04      2.000000E+01     0       +0.50      2.900000E+01    9.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.414400E+04      2.000000E+01     1       +1.50      1.070000E+01    5.987700E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.464800E+04      2.000000E+01     0       +0.50      4.300000E+01    8.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.495600E+04      2.000000E+01     1       +1.50      1.130000E+01    6.323500E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.813300E+04      2.000000E+01     1       +1.50      9.100000E+00    5.092400E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.023700E+04      2.000000E+01     1       +1.50      4.700000E+00    2.630100E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.141900E+04      2.000000E+01     0       +0.50      1.100000E+02    1.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.220000E+04      2.000000E+01     0       +0.50      1.670000E+02    1.000000E+01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.440200E+04      2.000000E+01     1       +1.50      3.750000E+01    2.098500E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +9.867000E+04      2.000000E+01     1       +0.50      3.600000E+01    2.014560E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.016800E+05      2.500000E+01     1       +1.50      8.950000E+00    5.008400E-02    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.029700E+05      2.500000E+01     1       +0.50      3.360000E+01    1.880260E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.060100E+05      2.500000E+01     0       +0.50      7.200000E+01    8.000000E+00    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.069200E+05      2.500000E+01     1       +1.50      4.710000E+01    2.635720E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.073800E+05      2.500000E+01     0       +0.50      1.060000E+02    5.931770E-01    1.986670E-01    9.933000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
