# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 11:21:15 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 80
# I                                  : 0
# Half-life                   [sec. ]: 4.6 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.642537E+01 
# Emax2 (background)             [eV]: 1.293670E+02 
# Number of resonances (<Emax)       : 11
# Number of resonances (<Emax2)      : 15
# Thermal (n,g) xs (systematics) [b.]: 8.026120E+01 
# Ress Int. (n,g) (systematics)  [b.]: 2.392530E+02 
# MACS 30 keV (calculated)       [b.]: 1.345300E-03
# Westcott factor (calculated)       : 1.275820E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 5.527420E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.875920E+01 
#
# Scattering radius              [fm]: 5.73 +/- 5.73 
#
# Average Gtotal   l=0           [eV]: 2.253610E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 3.807780E+01 
# Average Gg       l=0           [eV]: 2.166570E-01 
# Average level spacing D0 (l=0) [eV]: 2.547510E+01 
# Neutron strength function S0 (l=0) : 7.116760E-01 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -9.746623E+01      1.949300E-02     0       +0.50      1.418895E-01    1.421000E-03    2.077148E-01    8.318800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.642537E+01      1.528500E-02     0       +0.50      1.620037E-01    1.622000E-03    2.077148E-01    8.318800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.599181E+01      1.119800E-02     1       +0.50      8.307293E-04    8.000000E-06    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.686987E+01      7.374000E-03     1       +0.50      4.065691E-03    4.100000E-05    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.416076E+01      6.832000E-03     1       +0.50      3.145168E-03    3.100000E-05    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.287787E+01      4.576000E-03     1       +0.50      1.165374E-04    1.000000E-06    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.399576E+00      2.800000E-04     1       +0.50      2.318760E-03    2.300000E-05    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.741852E+01      5.484000E-03     1       +0.50      3.140979E-02    3.140000E-04    2.235993E-01    8.955000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.151727E+01      6.303000E-03     1       +1.50      2.585822E-03    2.600000E-05    2.143423E-01    8.584300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.917358E+01      7.835000E-03     1       +1.50      3.476457E-04    3.000000E-06    2.143423E-01    8.584300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +7.299169E+01      1.459800E-02     1       +1.50      4.755433E-04    5.000000E-06    2.143423E-01    8.584300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.087579E+01      1.617500E-02     1       +1.50      1.607565E-03    1.600000E-05    2.143423E-01    8.584300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +9.482275E+01      1.896500E-02     1       +1.50      5.295602E-02    5.300000E-04    2.143423E-01    8.584300E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.061056E+02      2.122100E-02     2       +1.50      1.291894E-07    0.000000E+00    2.072912E-01    8.301900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.275839E+02      2.551700E-02     2       +1.50      5.284200E-08    0.000000E+00    2.072912E-01    8.301900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
