# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 11:21:02 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 81
# I                                  : 0
# Half-life                   [sec. ]: 5.5 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 7.256047E+00 
# Emax2 (background)             [eV]: 6.625800E+01 
# Number of resonances (<Emax)       : 21
# Number of resonances (<Emax2)      : 56
# Thermal (n,g) xs (systematics) [b.]: 4.066880E+01 
# Ress Int. (n,g) (systematics)  [b.]: 4.151250E+01 
# MACS 30 keV (calculated)       [b.]: 2.272500E-03
# Westcott factor (calculated)       : 9.945600E-01
#
# Thermal (n,el) xs (systema.)   [b.]: 4.236460E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.081920E+01 
#
# Scattering radius              [fm]: 5.76 +/- 5.76 
#
# Average Gtotal   l=0           [eV]: 4.432340E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.539600E-05 
# Average Gg       l=0           [eV]: 4.432050E-01 
# Average level spacing D0 (l=0) [eV]: 1.814010E+00 
# Neutron strength function S0 (l=0) : 6.630680E-06 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.032790E+01      6.066000E-03     0       +1.00      1.232825E-04    1.000000E-06    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.003319E+01      6.007000E-03     0       +1.00      1.230161E-06    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.281608E+01      4.563000E-03     0       +1.00      1.499052E-05    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.184728E+01      4.369000E-03     0       +1.00      4.708954E-05    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.980900E+01      3.962000E-03     0       +1.00      1.153713E-05    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.574626E+01      3.149000E-03     0       +1.00      3.009809E-06    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.357496E+01      2.715000E-03     0       +1.00      1.756906E-04    2.000000E-06    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.144923E+01      2.290000E-03     0       +1.00      1.882909E-06    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.116774E+01      2.234000E-03     0       +1.00      4.251448E-05    0.000000E+00    4.666185E-01    1.870380E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.092512E+01      2.185000E-03     0       +2.00      5.119852E-06    0.000000E+00    4.432052E-01    1.776530E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
