# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 10:01:59 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 94
# I                                  : 0
# Abundancy                       [%]: 17.38
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.935100E+04 
# Emax2 (background)             [eV]: 8.935100E+04 
# Number of resonances (<Emax)       : 72
# Number of resonances (<Emax2)      : 72
# Thermal  (n,g) xs (calculated) [b.]: 5.093650E-02 
# Thermal  (n,g) xs (experiment) [b.]: 0.0515 +/- 0.0017 
# Res. Int (n,g) (calculated)    [b.]: 2.659980E-01  
# Res. Int (n,g) (experiment)    [b.]: 0.28 +/- 0.01 
# MACS 30 keV (calculated)       [b.]: 2.497100E-02
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (calculated) [b.]: 8.611910E+00 
# Thermal (n,el) xs (experiment) [b.]: 8.59 +/- 0.41 
# Res. Int (n,el) (calculated)   [b.]: 1.115060E+02 
#
# Scattering radius              [fm]: 7.20 +/- 0.20 
#
# Average Gtotal   l=0           [eV]: 5.589000E+01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.725830E-01 
# Average Gg       l=0           [eV]: 8.825000E-02 
# Average level spacing D0 (l=0) [eV]: 5.584440E+03 
# Neutron strength function S0 (l=0) : 5.186190E-05 
#
# Average Gtotal   l=1           [eV]: 5.557390E+01 
# Average reduced (Gn^1) Gn l=1  [eV]: 2.272820E+00 
# Average Gg       l=1           [eV]: 1.514680E-01 
# Average level spacing D1 (l=1) [eV]: 1.685870E+03 
# Neutron strength function S1 (l=1) : 7.752870E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.468000E+03      1.020357E+00     0       +0.50      1.985909E+02    1.000000E+01    7.290000E-02    2.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.243000E+03      3.000000E+00     0       +0.50      1.230000E+00    5.000000E-02    7.200000E-02    4.200000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.920000E+03      1.000000E+01     1       +0.50      4.500000E-01    5.000000E-02    1.750000E-01    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.755000E+03      1.000000E+01     0       +0.50      1.270000E+01    1.000000E-01    4.300000E-02    4.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.814000E+03      1.000000E+01     1       +1.50      2.660000E+00    5.500000E-02    1.730000E-01    1.700000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.065000E+03      1.000000E+01     0       +0.50      2.400000E+01    2.000000E-01    7.300000E-02    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.705000E+03      2.000000E+01     1       +1.50      7.500000E-01    1.000000E-01    9.400000E-02    1.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.013000E+04      2.000000E+01     1       +1.50      2.300000E+00    2.000000E-01    9.200000E-02    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.056000E+04      2.000000E+01     1       +0.50      1.700000E+00    3.000000E-01    5.800000E-02    6.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.203000E+04      2.000000E+01     1       +0.50      3.100000E+00    2.000000E-01    1.320000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.251000E+04      3.000000E+01     1       +1.50      1.080000E+01    5.000000E-01    2.990000E-01    3.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.339000E+04      3.000000E+01     1       +1.50      1.500000E+00    5.000000E-01    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.422000E+04      3.000000E+01     1       +1.50      2.400000E+00    1.500000E-01    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.538000E+04      3.000000E+01     1       +0.50      8.300000E+00    1.500000E-01    1.140000E-01    1.200000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.735000E+04      3.000000E+01     1       +0.50      8.350000E+00    1.500000E-01    1.290000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.789000E+04      4.000000E+01     1       +1.50      3.850000E+01    1.000000E+00    3.020000E-01    3.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.924000E+04      4.000000E+01     0       +0.50      1.600000E+02    1.000000E+01    6.400000E-02    1.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.971000E+04      4.000000E+01     1       +1.50      4.500000E-01    1.500000E-01    1.890000E-01    1.900000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.986000E+04      4.000000E+01     0       +0.50      6.600000E+00    4.000000E-01    7.900000E-02    8.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.022000E+04      4.000000E+01     1       +0.50      4.100000E+01    1.500000E+00    1.680000E-01    1.800000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.218000E+04      4.000000E+01     1       +0.50      5.000000E+00    1.000000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.226000E+04      4.000000E+01     0       +0.50      1.200000E+01    7.000000E-01    3.500000E-02    5.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.383000E+04      5.000000E+01     1       +1.50      2.800000E+01    5.000000E-01    1.710000E-01    1.700000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.436000E+04      5.000000E+01     1       +0.50      2.850000E+01    5.000000E-01    2.280000E-01    2.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.583000E+04      5.000000E+01     1       +1.50      2.550000E+00    5.000000E-01    1.310000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.975000E+04      6.000000E+01     0       +0.50      6.100000E+00    2.000000E+00    9.200000E-02    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.088000E+04      6.000000E+01     1       +0.50      2.650000E+01    1.000000E+00    1.470000E-01    2.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.155000E+04      6.000000E+01     1       +1.50      3.600000E+01    3.000000E+00    1.080000E-01    1.100000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.271000E+04      7.000000E+01     1       +1.50      7.800000E+01    1.500000E+00    1.380000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.486000E+04      7.000000E+01     0       +0.50      8.400000E+01    6.000000E+00    1.180000E-01    2.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.533000E+04      7.000000E+01     1       +1.50      6.000000E+00    2.500000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.570000E+04      7.000000E+01     1       +1.50      4.000000E+00    2.500000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.639000E+04      7.000000E+01     1       +0.50      1.600000E+01    2.000000E+00    1.770000E-01    3.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.783000E+04      8.000000E+01     1       +1.50      4.600000E+01    1.000000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.878000E+04      8.000000E+01     1       +0.50      1.000000E+01    3.000000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.972000E+04      8.000000E+01     1       +1.50      3.000000E+00    1.500000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.136000E+04      8.000000E+01     1       +1.50      6.900000E+01    2.000000E+00    1.380000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.311000E+04      9.000000E+01     1       +1.50      1.560000E+02    5.000000E+00    8.825000E-02    4.412000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
