# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:25:59 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 97
# I                                  : 0
# Half-life                   [hours]: 16.75 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.212125E+03 
# Emax2 (background)             [eV]: 1.272710E+04 
# Number of resonances (<Emax)       : 57
# Number of resonances (<Emax2)      : 100
# Thermal (n,g) xs (systematics) [b.]: 3.685970E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.181880E+02 
# MACS 30 keV (calculated)       [b.]: 2.327600E-02
# Westcott factor (calculated)       : 1.001140E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.288800E+00 
# Res. Int (n,el) (calculated)   [b.]: 4.258480E+02 
#
# Scattering radius              [fm]: 6.11 +/- 0.43 
#
# Average Gtotal   l=0           [eV]: 2.678120E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 9.556370E-03 
# Average Gg       l=0           [eV]: 5.050240E-02 
# Average level spacing D0 (l=0) [eV]: 3.673110E+01 
# Neutron strength function S0 (l=0) : 2.010420E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.624376E+03      5.248750E-01     0       +0.00      2.133968E-01    2.747000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.284756E+03      4.569510E-01     0       +0.00      1.406322E-02    1.810000E-04    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.752236E+03      3.504470E-01     0       +0.00      1.953087E-03    2.500000E-05    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.473305E+03      2.946610E-01     0       +0.00      1.113595E-01    1.434000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.188287E+03      2.376570E-01     0       +0.00      4.032571E-02    5.190000E-04    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.923318E+02      1.784660E-01     0       +0.00      7.351115E-01    9.464000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -8.044343E+02      1.608870E-01     0       +0.00      2.360795E-01    3.039000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.787449E+02      1.357490E-01     0       +0.00      1.440309E+00    1.854300E-02    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.367224E+02      1.273440E-01     0       +0.00      6.439594E-03    8.300000E-05    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.295476E+02      1.259100E-01     0       +0.00      8.084781E-02    1.041000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -6.102957E+02      1.220590E-01     0       +0.00      1.253687E+00    1.614100E-02    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.838835E+02      1.167770E-01     0       +0.00      2.495622E-01    3.213000E-03    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -5.494900E+02      1.098980E-01     0       +0.00      1.007581E+00    1.297200E-02    4.711680E-02    2.426400E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
