# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Sep 16 11:20:30 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 100
# I                                  : 0
# Half-life                   [sec. ]: 7.1 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 2.939752E+03 
# Emax2 (background)             [eV]: 4.536290E+05 
# Number of resonances (<Emax)       : 29
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 4.067820E+00 
# Ress Int. (n,g) (systematics)  [b.]: 9.418420E+00 
# MACS 30 keV (calculated)       [b.]: 2.947800E-02
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 2.692020E+00 
# Res. Int (n,el) (calculated)   [b.]: 8.923080E+02 
#
# Scattering radius              [fm]: 6.17 +/- 6.17 
#
# Average Gtotal   l=0           [eV]: 5.582730E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.709450E-01 
# Average Gg       l=0           [eV]: 5.111360E-02 
# Average level spacing D0 (l=0) [eV]: 1.959830E+02 
# Neutron strength function S0 (l=0) : 9.303930E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.921220E+03      5.842440E-01     0       +0.50      4.005656E+00    6.001100E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.765885E+03      5.531770E-01     0       +0.50      2.363513E+00    3.540900E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.674357E+03      5.348710E-01     0       +0.50      3.378718E+00    5.061800E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.525935E+03      5.051870E-01     0       +0.50      3.234123E-04    5.000000E-06    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.304615E+03      4.609230E-01     0       +0.50      2.088947E+01    3.129550E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.906521E+03      3.813040E-01     0       +0.50      1.155938E+00    1.731800E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.894123E+03      3.788250E-01     0       +0.50      4.896876E+01    7.336240E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.356748E+03      2.713500E-01     0       +0.50      2.509561E+01    3.759690E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.331689E+03      2.663380E-01     0       +0.50      1.931098E+00    2.893100E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.231138E+03      2.462280E-01     0       +0.50      3.277509E+01    4.910190E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.091799E+03      2.183600E-01     0       +0.50      2.664282E-01    3.991000E-03    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -7.270212E+02      1.454040E-01     0       +0.50      1.425774E+01    2.136020E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.258456E+02      6.516900E-02     0       +0.50      1.403353E+00    2.102400E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  -1.179392E+02      2.358800E-02     0       +0.50      6.261415E-01    9.381000E-03    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.264347E+02      4.528700E-02     0       +0.50      5.843196E+00    8.754000E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +3.692663E+02      7.385300E-02     0       +0.50      6.560025E+00    9.827900E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.085291E+02      1.217060E-01     0       +0.50      6.775118E-02    1.015000E-03    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +6.922073E+02      1.384410E-01     0       +0.50      8.734709E+00    1.308590E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +8.947630E+02      1.789530E-01     0       +0.50      7.905385E+00    1.184340E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     radiator 
  +1.071803E+03      2.143610E-01     0       +0.50      1.253444E+01    1.877840E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.163870E+03      2.327740E-01     0       +0.50      4.709942E+00    7.056200E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.419656E+03      2.839310E-01     0       +0.50      3.758495E-01    5.631000E-03    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.422166E+03      2.844330E-01     0       +0.50      1.029636E-01    1.543000E-03    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.448772E+03      2.897540E-01     0       +0.50      8.215708E-01    1.230800E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +1.513060E+03      3.026120E-01     0       +0.50      2.770742E+00    4.151000E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.143761E+03      4.287520E-01     0       +0.50      1.109870E+01    1.662750E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.300604E+03      4.601210E-01     0       +0.50      1.695024E+01    2.539390E-01    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  +2.809882E+03      5.619760E-01     0       +0.50      4.121912E+00    6.175200E-02    5.111363E-02    3.063000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
