# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Tue Dec  2 23:14:28 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 101
# I                                  : 0
# Half-life                   [sec. ]: 2.29 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.016512E+03 
# Emax2 (background)             [eV]: 1.247690E+04 
# Number of resonances (<Emax)       : 57
# Number of resonances (<Emax2)      : 99
# Thermal (n,g) xs (systematics) [b.]: 6.084650E+00 
# Ress Int. (n,g) (systematics)  [b.]: 1.071250E+02 
# MACS 30 keV (calculated)       [b.]: 4.315900E-02
# Westcott factor (calculated)       : 1.001040E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 3.567050E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.148050E+03 
#
# Scattering radius              [fm]: 6.19 +/- 6.19 
#
# Average Gtotal   l=0           [eV]: 4.784890E-01 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.412480E-02 
# Average Gg       l=0           [eV]: 3.140440E-02 
# Average level spacing D0 (l=0) [eV]: 4.235470E+01 
# Neutron strength function S0 (l=0) : 3.708270E-04 
#
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.751104E+03      7.502210E-01     0       +1.00      1.574410E-01    2.476000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -3.490074E+03      6.980150E-01     0       +1.00      3.028289E-02    4.760000E-04    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.151270E+03      4.302540E-01     0       +1.00      2.374552E-01    3.734000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.721944E+03      3.443890E-01     0       +1.00      4.156573E-02    6.540000E-04    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.581814E+03      3.163630E-01     0       +1.00      9.793062E-03    1.540000E-04    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.445734E+03      2.891470E-01     0       +1.00      9.232567E-02    1.452000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.145491E+03      2.290980E-01     0       +1.00      1.735295E-01    2.729000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.065039E+03      2.130080E-01     0       +1.00      2.863065E-01    4.502000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.032473E+03      2.064950E-01     0       +1.00      5.828511E-01    9.165000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -9.736082E+02      1.947220E-01     0       +1.00      5.390278E-01    8.476000E-03    3.411681E-02    2.145900E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
