# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Wed Nov 19 21:36:37 2025
#                        
# Element                            : Zr
# Z                                  : 40
# A                                  : 103
# I                                  : 0
# Half-life                   [sec. ]: 1.38 
# Data origin                        : TARES
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.399722E+03 
# Emax2 (background)             [eV]: 4.000000E+03 
# Number of resonances (<Emax)       : 47
# Number of resonances (<Emax2)      : 73
# Thermal (n,g) xs (systematics) [b.]: 4.318850E+00 
# Ress Int. (n,g) (systematics)  [b.]: 3.713750E+00 
# MACS 30 keV (calculated)       [b.]: 7.041000E-03
# Westcott factor (calculated)       : 1.000550E+00
#
# Thermal (n,el) xs (systema.)   [b.]: 9.218080E+03 
# Res. Int (n,el) (calculated)   [b.]: 6.660690E+04 
#
# Scattering radius              [fm]: 6.23 +/- 6.23 
#
# Average Gtotal   l=0           [eV]: 2.585280E+02 
# Average reduced (Gn^0) Gn l=0  [eV]: 2.105700E+04 
# Average Gg       l=0           [eV]: 6.082900E-03 
# Average level spacing D0 (l=0) [eV]: 1.272470E+02 
# Neutron strength function S0 (l=0) : 3.675370E+01 
#
# Average Gtotal   l=1           [eV]: 1.479910E-02 
# Average reduced (Gn^1) Gn l=1  [eV]: 6.673400E+02 
# Average Gg       l=1           [eV]: 5.246370E-03 
# Average level spacing D1 (l=1) [eV]: 1.399720E+03 
# Neutron strength function S1 (l=1) : 1.589220E-02 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -2.706737E+03      5.413470E-01     0       +2.00      3.198753E+02    5.466141E+00    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.563346E+03      5.126690E-01     0       +2.00      2.726068E+03    4.658400E+01    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.235616E+03      4.471230E-01     0       +2.00      3.781714E+01    6.462330E-01    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.195465E+03      4.390930E-01     0       +2.00      6.962271E+02    1.189737E+01    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.073325E+03      4.146650E-01     0       +2.00      3.183351E+02    5.439822E+00    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -2.007733E+03      4.015470E-01     0       +2.00      3.505858E+03    5.990933E+01    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.991249E+03      3.982500E-01     0       +2.00      8.127790E+01    1.388905E+00    1.270801E-02    8.686000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.989843E+03      3.979690E-01     0       +3.00      6.066800E+00    1.036720E-01    1.595883E-02    1.090800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.812205E+03      3.624410E-01     0       +3.00      2.710260E+02    4.631387E+00    1.595883E-02    1.090800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
  -1.756821E+03      3.513640E-01     0       +3.00      7.587314E+02    1.296547E+01    1.595883E-02    1.090800E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00      hfr  
