# header: 
#   title: Bi209(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-12-15
# target: 
#   Z: 83
#   A: 209
#   nuclide: Bi209
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  4.272800E+00
#   selected value uncertainty [b]:  4.321800E-01
#   selected value source: J.A.Harvey
#   number of values: 70
#   average value [b]:  6.732736E+00
#   relative standard deviation [%]:     29.737864
#   quantity: 
#     type: EXFOR
#     average value:  6.457341E+00
#     relative standard deviation [%]:     29.667166
#   datablock: 
#     columns: 10
#     entries: 63
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      H.L.Anderson            EXFOR                1946        6.680000E+00   0.000000E+00   14689-008-0        1.563378                  2.530000E-08
      P.A.Egelstaff           EXFOR                1953        8.900000E+00   2.000000E-01   21278-023-0        2.082943                  2.530000E-08
      J.A.Harvey              EXFOR                1977        5.833400E+00   2.520500E-01   13761-011-0        1.365241                  2.401900E-08
      J.A.Harvey              EXFOR                1977        6.155600E+00   2.518400E-01   13761-011-0        1.440648                  2.406700E-08
      J.A.Harvey              EXFOR                1977        5.708500E+00   2.537500E-01   13761-011-0        1.336009                  2.411400E-08
      J.A.Harvey              EXFOR                1977        6.077400E+00   2.576400E-01   13761-011-0        1.422346                  2.416200E-08
      J.A.Harvey              EXFOR                1977        6.147400E+00   2.620300E-01   13761-011-0        1.438729                  2.421000E-08
      J.A.Harvey              EXFOR                1977        6.087600E+00   2.554600E-01   13761-011-0        1.424733                  2.425800E-08
      J.A.Harvey              EXFOR                1977        6.608000E+00   2.681800E-01   13761-011-0        1.546527                  2.430600E-08
      J.A.Harvey              EXFOR                1977        7.551800E+00   2.745400E-01   13761-011-0        1.767412                  2.435400E-08
      J.A.Harvey              EXFOR                1977        7.764100E+00   2.851600E-01   13761-011-0        1.817099                  2.440300E-08
      J.A.Harvey              EXFOR                1977        7.766800E+00   2.854600E-01   13761-011-0        1.817731                  2.445100E-08
      J.A.Harvey              EXFOR                1977        8.595200E+00   2.897300E-01   13761-011-0        2.011608                  2.450000E-08
      J.A.Harvey              EXFOR                1977        8.790600E+00   2.997800E-01   13761-011-0        2.057339                  2.454900E-08
      J.A.Harvey              EXFOR                1977        8.719000E+00   3.034500E-01   13761-011-0        2.040582                  2.459800E-08
      J.A.Harvey              EXFOR                1977        9.203500E+00   3.146600E-01   13761-011-0        2.153974                  2.464700E-08
      J.A.Harvey              EXFOR                1977        9.767500E+00   3.255300E-01   13761-011-0        2.285972                  2.469700E-08
      J.A.Harvey              EXFOR                1977        1.069800E+01   3.523900E-01   13761-011-0        2.503745                  2.474600E-08
      J.A.Harvey              EXFOR                1977        1.100400E+01   3.554200E-01   13761-011-0        2.575360                  2.479600E-08
      J.A.Harvey              EXFOR                1977        9.967700E+00   3.312000E-01   13761-011-0        2.332826                  2.484500E-08
      J.A.Harvey              EXFOR                1977        1.020300E+01   3.371000E-01   13761-011-0        2.387896                  2.489500E-08
      J.A.Harvey              EXFOR                1977        1.003400E+01   3.248700E-01   13761-011-0        2.348343                  2.494500E-08
      J.A.Harvey              EXFOR                1977        9.432600E+00   3.277800E-01   13761-011-0        2.207592                  2.499600E-08
