# header: 
#   title: Fe000(n,tot) thermal cross section
#   source: Resonancetables
#   date: 2025-09-14
# target: 
#   Z: 26
#   A: 0
#   nuclide: Fe000
# reaction: 
#   type: (n,tot)
# observables: 
#   selected value [b]:  1.236900E+01
#   selected value uncertainty [b]:  6.609600E-02
#   selected value source: J.A.Harvey
#   number of values: 83
#   average value [b]:  1.183104E+01
#   relative standard deviation [%]:      5.382904
#   quantity: 
#     type: EXFOR
#     average value:  1.180711E+01
#     relative standard deviation [%]:      5.193652
#   datablock: 
#     columns: 10
#     entries: 81
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      W.W.Havens Jr           EXFOR                1951        1.319500E+01   0.000000E+00   11732-016-0        1.066780                  2.480000E-08
      J.A.Harvey              EXFOR                1982        1.105000E+01   4.584300E-02   13733-005-0        0.893362                  2.401900E-08
      J.A.Harvey              EXFOR                1982        1.111000E+01   4.574300E-02   13733-005-0        0.898213                  2.410800E-08
      J.A.Harvey              EXFOR                1982        1.102600E+01   4.521700E-02   13733-005-0        0.891422                  2.419700E-08
      J.A.Harvey              EXFOR                1982        1.107700E+01   4.535300E-02   13733-005-0        0.895545                  2.428700E-08
      J.A.Harvey              EXFOR                1982        1.101100E+01   1.094200E-01   13733-005-0        0.890209                  2.434000E-08
      J.A.Harvey              EXFOR                1982        1.085300E+01   1.083900E-01   13733-005-0        0.877435                  2.435500E-08
      J.A.Harvey              EXFOR                1982        1.094600E+01   1.097000E-01   13733-005-0        0.884954                  2.437000E-08
      J.A.Harvey              EXFOR                1982        1.100000E+01   1.099500E-01   13733-005-0        0.889320                  2.438500E-08
      J.A.Harvey              EXFOR                1982        1.106100E+01   1.111300E-01   13733-005-0        0.894252                  2.440000E-08
      J.A.Harvey              EXFOR                1982        1.107700E+01   1.096500E-01   13733-005-0        0.895545                  2.441500E-08
      J.A.Harvey              EXFOR                1982        1.095700E+01   1.090200E-01   13733-005-0        0.885844                  2.443000E-08
      J.A.Harvey              EXFOR                1982        1.116900E+01   1.100600E-01   13733-005-0        0.902983                  2.444500E-08
      J.A.Harvey              EXFOR                1982        1.113700E+01   1.094800E-01   13733-005-0        0.900396                  2.446000E-08
      J.A.Harvey              EXFOR                1982        1.115000E+01   1.103000E-01   13733-005-0        0.901447                  2.447600E-08
      J.A.Harvey              EXFOR                1982        1.113500E+01   1.102600E-01   13733-005-0        0.900234                  2.449100E-08
      J.A.Harvey              EXFOR                1982        1.111000E+01   1.090100E-01   13733-005-0        0.898213                  2.450600E-08
      J.A.Harvey              EXFOR                1982        1.129000E+01   1.108800E-01   13733-005-0        0.912766                  2.452100E-08
      J.A.Harvey              EXFOR                1982        1.113100E+01   1.097200E-01   13733-005-0        0.899911                  2.453600E-08
      J.A.Harvey              EXFOR                1982        1.119400E+01   1.094500E-01   13733-005-0        0.905004                  2.455200E-08
      J.A.Harvey              EXFOR                1982        1.116700E+01   1.100600E-01   13733-005-0        0.902822                  2.456700E-08
      J.A.Harvey              EXFOR                1982        1.095500E+01   1.082400E-01   13733-005-0        0.885682                  2.458200E-08
      J.A.Harvey              EXFOR                1982        1.122100E+01   1.095300E-01   13733-005-0        0.907187                  2.459700E-08
      J.A.Harvey              EXFOR                1982        1.117700E+01   1.095900E-01   13733-005-0        0.903630                  2.461300E-08
      J.A.Harvey              EXFOR                1982        1.103500E+01   1.080200E-01   13733-005-0        0.892150                  2.462800E-08
      J.A.Harvey              EXFOR                1982        1.128800E+01   1.109300E-01   13733-005-0        0.912604                  2.464300E-08
      J.A.Harvey              EXFOR                1982        1.123900E+01   1.105500E-01   13733-005-0        0.908643                  2.465900E-08
      J.A.Harvey              EXFOR                1982        1.109500E+01   1.097600E-01   13733-005-0        0.897001                  2.467400E-08
      J.A.Harvey              EXFOR                1982        1.124300E+01   1.101000E-01   13733-005-0        0.908966                  2.468900E-08
      J.A.Harvey              EXFOR                1982        1.131600E+01   1.103600E-01   13733-005-0        0.914868                  2.470500E-08
      J.A.Harvey              EXFOR                1982        1.141400E+01   1.107300E-01   13733-005-0        0.922791                  2.472000E-08
      J.A.Harvey              EXFOR                1982        1.131700E+01   1.107000E-01   13733-005-0        0.914949                  2.473600E-08
      J.A.Harvey              EXFOR                1982        1.115300E+01   1.091300E-01   13733-005-0        0.901690                  2.475100E-08
      J.A.Harvey              EXFOR                1982        1.134200E+01   1.103600E-01   13733-005-0        0.916970                  2.476600E-08
      J.A.Harvey              EXFOR                1982        1.150000E+01   1.120800E-01   13733-005-0        0.929744                  2.478200E-08
      J.A.Harvey              EXFOR                1982        1.155200E+01   1.126300E-01   13733-005-0        0.933948                  2.479700E-08
      J.A.Harvey              EXFOR                1982        1.129900E+01   1.101300E-01   13733-005-0        0.913493                  2.481300E-08
